,,,,,2015,2020,2025,2030,2035,2040,2045,2050
NPS-Ref,RUS,RUS,EU,LVA,0.728649045,0.64129138,1.239074276,0.992701064,0.998322416,1.025077577,1.054458083,1.018721248
NPS-Ref,RUS,RUS,EU,NLD,8.0118519,10.65503635,11.92174207,13.19692293,13.76434401,14.41276049,14.97444225,14.95171967
NPS-Ref,RUS,RUS,EU,POL,4.331877024,7.707744689,11.07030852,15.04727007,15.93999351,17.63636388,18.73538495,20.82024278
NPS-Ref,RUS,RUS,EU,PRT,0.639426776,0.445691789,0.38621208,0.520764068,0.513616244,0.505831259,0.642750536,0.725707283
NPS-Ref,RUS,RUS,EU,ROM,3.196330009,2.457823985,1.876418339,3.848984411,4.24995284,4.44757523,4.258730413,4.282189455
NPS-Ref,RUS,RUS,EU,SVK,1.114174063,1.826903448,2.2134422,2.165587341,2.345881376,2.574651443,2.619049093,2.669890058
NPS-Ref,RUS,RUS,EU,SVN,0.264970108,0.251250142,0.229292458,0.376464036,0.446088728,0.524064405,0.624881451,0.734284054
NPS-Ref,RUS,RUS,EU,SWE,0.223622204,0.443616401,0.630307092,1.050718001,1.216884741,1.45431512,1.605723202,1.835432633
NPS-Ref,RUS,RUS,ROE,BLR,18.91700552,22.22842539,22.95178687,26.19323156,27.73673686,30.34567339,31.93835259,32.85205108
NPS-Ref,RUS,RUS,ROE,CHE,0.594230844,0.873957397,1.08169866,1.329753755,1.49322548,1.728521228,1.852593709,2.254647822
NPS-Ref,RUS,RUS,ROE,SRB,0.559208018,0.616433015,0.52951712,0.455489284,0.520162453,0.610498698,0.720699858,0.766573619
NPS-Ref,RUS,RUS,ROE,TUR,30.79252043,37.19282453,44.54744353,41.66197358,43.48413804,47.02199123,48.24898668,48.59777798
NPS-Ref,RUS,RUS,ROE,UKR,4.043898382,5.507176083,6.064070578,7.407810341,8.695911461,10.14682852,10.95883358,11.45554731
NPS-Ref,RUS,RUS,CAS,AZE,2.98108E-09,3.09605E-08,2.27235E-08,1.12451E-07,2.10385E-07,5.40354E-07,1.54271E-06,3.52355E-07
NPS-Ref,RUS,RUS,MEA,ARE,2.67756E-09,1.15259E-08,1.17895E-08,1.30964E-08,1.5513E-08,1.58458E-08,1.88208E-08,2.06367E-08
NPS-Ref,RUS,RUS,MEA,BHR,,1.14385E-08,1.2086E-08,1.44895E-08,1.75692E-08,2.0749E-08,2.29321E-08,2.5318E-08
NPS-Ref,RUS,RUS,MEA,ISR,8.14052E-10,1.1494E-08,1.21205E-08,1.47424E-08,1.7794E-08,2.06356E-08,2.26428E-08,2.50615E-08
NPS-Ref,RUS,RUS,MEA,KWT,1.11789E-08,0.119968024,2.37348E-08,3.21569E-08,3.32329E-08,2.86806E-08,2.92096E-08,2.99854E-08
NPS-Ref,RUS,RUS,MEA,OMN,7.24957E-10,2.95027E-09,6.34777E-09,7.50508E-09,8.65015E-09,1.00442E-08,1.11962E-08,1.20989E-08
NPS-Ref,RUS,RUS,AFR,EGY,6.1463E-09,4.28E-08,1.59225E-08,1.84078E-08,2.20016E-08,2.66417E-08,3.1808E-08,3.35724E-08
NPS-Ref,RUS,RUS,ASP,BGD,,8.63766E-08,2.60666E-07,0.041166168,0.190537795,0.10896983,0.115829491,0.051001453
NPS-Ref,RUS,RUS,ASP,CHN,0.332471866,8.585548703,9.459653145,9.314638218,12.87229066,16.23976449,17.58262186,17.87766036
NPS-Ref,RUS,RUS,ASP,IDN,3.97622E-09,7.19147E-09,8.70756E-09,1.08971E-08,1.35696E-08,1.84617E-08,2.28229E-08,2.99968E-08
NPS-Ref,RUS,RUS,ASP,IND,0.275997239,3.781551041,2.606987418,1.459698606,1.338502342,1.419161803,1.503035316,1.52843782
NPS-Ref,RUS,RUS,ASP,JPN,7.45842185,17.43299483,19.30829076,20.41453656,19.98254612,20.26743031,20.80702776,21.01602368
NPS-Ref,RUS,RUS,ASP,KOR,2.375061877,5.556317769,5.920806798,6.10144479,6.349095325,6.737721533,7.152778629,7.438449833
NPS-Ref,RUS,RUS,ASP,MYS,7.51919E-09,1.63398E-08,1.62366E-08,2.06064E-08,2.71321E-08,3.38274E-08,4.2031E-08,5.38963E-08
NPS-Ref,RUS,RUS,ASP,PAK,2.65755E-09,1.39975E-08,1.95156E-08,1.6859E-08,1.87425E-08,2.45242E-08,3.11949E-08,4.07404E-08
NPS-Ref,RUS,RUS,ASP,PHL,,2.8938E-08,1.34749E-07,0.003704772,0.054957522,0.100034376,0.104627434,0.088826435
NPS-Ref,RUS,RUS,ASP,SGP,8.07703E-08,1.386243711,1.20723E-07,5.17506E-08,6.62319E-08,8.29893E-08,1.07584E-07,1.4141E-07
NPS-Ref,RUS,RUS,ASP,THA,1.53089E-08,1.851732931,3.307833072,4.422387627,5.062287749,5.080590089,5.453341779,5.456318788
NPS-Ref,RUS,RUS,ASP,TWN,1.462788339,2.835791237,2.838080821,2.842910381,2.751941947,2.877083911,3.010040195,3.085012721
NPS-Ref,RUS,RUS,ASP,VNM,,,2.33071E-08,3.90859E-08,7.13898E-08,2.0373E-07,2.21183E-07,2.18745E-07
NPS-Ref,NAM,CAN,SAM,ARG,,1.91112E-08,3.57407E-08,2.31106E-08,1.40305E-08,1.7086E-08,1.93458E-08,2.29908E-08
NPS-Ref,NAM,CAN,SAM,BRA,,2.19409E-08,3.90146E-08,1.91819E-08,2.27246E-08,2.4625E-08,3.0068E-08,3.32538E-08
NPS-Ref,NAM,CAN,SAM,CHL,,7.33181E-08,1.3298E-07,1.14736E-07,7.44403E-08,6.72382E-08,6.15539E-08,6.84229E-08
NPS-Ref,NAM,CAN,SAM,COL,,6.30095E-09,2.90992E-08,5.40424E-08,1.04622E-07,1.36162E-07,1.63241E-07,1.7191E-07
NPS-Ref,NAM,CAN,SAM,TTO,,,2.12071E-09,2.45856E-09,2.94261E-09,5.36119E-09,6.7591E-09,8.59576E-09
NPS-Ref,NAM,CAN,SAM,VEN,,6.17637E-09,2.78266E-08,5.16147E-08,9.37507E-08,1.18804E-07,1.43938E-07,1.52358E-07
NPS-Ref,NAM,CAN,EU,AUT,,3.55095E-08,5.23549E-08,3.13082E-08,3.75161E-08,4.94782E-08,4.98758E-08,5.06916E-08
NPS-Ref,NAM,CAN,EU,BEL,,4.35983E-08,1.16742E-07,1.09563E-07,1.77924E-07,2.6131E-07,2.42527E-07,2.39748E-07
