,,,,,2015,2020,2025,2030,2035,2040,2045,2050
SDS-Vision,NAM,CAN,ROE,SRB,,3.12059E-08,1.79756E-08,1.58517E-08,1.75963E-08,2.0031E-08,1.90444E-08,1.9531E-08
SDS-Vision,NAM,CAN,ROE,TUR,,8.49831E-09,1.25317E-08,1.55832E-08,2.06161E-08,2.98933E-08,3.35014E-08,4.68126E-08
SDS-Vision,NAM,CAN,ROE,UKR,,1.22742E-08,1.10438E-08,1.01594E-08,1.20161E-08,1.46381E-08,1.81244E-08,2.03572E-08
SDS-Vision,NAM,CAN,MEA,ARE,,5.56225E-09,9.10489E-09,9.64258E-09,1.10229E-08,1.46156E-08,1.72532E-08,1.99076E-08
SDS-Vision,NAM,CAN,MEA,BHR,,1.99165E-09,9.29906E-09,1.19107E-08,1.39411E-08,1.87555E-08,2.18126E-08,2.33639E-08
SDS-Vision,NAM,CAN,MEA,ISR,,1.99348E-09,9.31892E-09,1.19513E-08,1.39897E-08,1.86178E-08,2.15771E-08,2.31741E-08
SDS-Vision,NAM,CAN,MEA,KWT,,9.44652E-09,2.12743E-08,2.10016E-08,2.22415E-08,2.3199E-08,2.62223E-08,2.59173E-08
SDS-Vision,NAM,CAN,MEA,OMN,,2.22787E-09,5.82042E-09,6.9549E-09,9.18889E-09,1.25194E-08,1.58458E-08,1.5867E-08
SDS-Vision,NAM,CAN,AFR,EGY,,8.43253E-09,1.60811E-08,1.39263E-08,1.79032E-08,2.26438E-08,2.97004E-08,3.1826E-08
SDS-Vision,NAM,CAN,ASP,BGD,,7.30125E-09,2.48692E-08,2.53148E-08,2.39056E-08,2.74684E-08,3.19842E-08,3.25014E-08
SDS-Vision,NAM,CAN,ASP,CHN,,9.75138E-07,0.204359176,1.797664263,2.774860422,2.774857741,2.521192617,2.089923557
SDS-Vision,NAM,CAN,ASP,IDN,,2.04494E-09,7.00849E-09,8.85531E-09,1.1269E-08,1.49504E-08,1.71575E-08,1.78309E-08
SDS-Vision,NAM,CAN,ASP,IND,,4.35084E-07,9.74849E-07,9.42141E-07,1.13032E-06,1.48418E-06,1.87455E-06,2.32287E-06
SDS-Vision,NAM,CAN,ASP,JPN,,8.634117049,1.043327412,8.7903E-06,1.01602E-05,1.23991E-05,1.19417E-05,7.32981E-06
SDS-Vision,NAM,CAN,ASP,KOR,,7.719804271,15.09280419,14.54000998,13.56244169,13.56243173,13.81617972,14.24771613
SDS-Vision,NAM,CAN,ASP,MYS,,6.91156E-09,1.22806E-08,1.59189E-08,2.23875E-08,2.77693E-08,3.05664E-08,3.16818E-08
SDS-Vision,NAM,CAN,ASP,PAK,,4.74146E-09,1.64051E-08,3.28836E-08,4.59795E-08,7.24358E-08,8.11304E-08,1.14813E-07
